feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACTB,101.18781572945088,0.03791427139718756,0.3585741594875649,0.24882740535765108,0.8034942912786062,0.9584100819008571
ACTG1,19.475618575198805,-0.10351234426314919,0.37191511416560746,-0.7004025266152438,0.48367595882746295,0.9106782956248228
ARHGDIB,17.09276588503761,0.13899207325899704,0.3939369231055695,0.8246656735807769,0.4095614250465086,0.9106782956248228
ARPC2,11.42582025707064,0.08666588483939522,0.39030865344678695,0.5636815097439556,0.572970903322364,0.9106782956248228
ATP5F1E,10.14190464055734,0.007661506414609632,0.37977894137874463,0.054681721256039116,0.9563920318967138,0.9946894347540042
B2M,265.9260623358335,-0.11133556218334426,0.3138839966894111,-0.6312126263417428,0.5279015072713569,0.9106782956248228
CALM1,20.878404549939734,0.07403990043282978,0.36177998131867906,0.4531543934822675,0.6504375700707046,0.9106782956248228
CCL4,17.31478970936568,-0.06832036441397134,0.3781216545017374,-0.5089848157469491,0.6107628674181848,0.9106782956248228
CCL5,84.15008139097763,-0.7580726205311124,0.6023914061101027,-2.5440260134972883,0.010958292325605346,0.1260203617444615
CD3D,7.816074384933631,-0.34760709226834297,0.6501310816262271,-2.3118860183378382,0.020783965423590803,0.19121248189703538
CD3E,9.736369246424866,-0.24633309614783486,0.4827588930434211,-1.7384435855853613,0.08213268238331167,0.4585546528507356
CD52,16.459912773335923,-0.2059941610968895,0.4193642671749325,-1.231109627207334,0.2182818653407772,0.8032772644540601
CD8A,8.466064159514334,-0.20985588698208088,0.45888606678612703,-1.7740508332362566,0.07605474237530958,0.4585546528507356
CFL1,20.937232707663295,0.03102993062772265,0.3671612158293073,0.2093521982084862,0.8341733061665545,0.9592993020915376
CORO1A,13.717051599742556,-0.1371458891452406,0.3909194928241992,-0.8929786015195565,0.3718686321036978,0.8772285680394922
COX4I1,12.337260517045603,-0.09012937180652843,0.39914472815235774,-0.6711036811955227,0.5021544820297565,0.9106782956248228
CST7,26.763013416979753,-0.13582004048216592,0.36932780632961487,-0.8499030012635411,0.39537901683394794,0.9093717387180802
CTSW,21.417093847614673,0.15734343697768716,0.3899272302823311,0.9506010921239445,0.3418069140278247,0.8718812400522548
CYBA,14.542862032130362,0.05079073122786101,0.38435267014410857,0.3605501440452285,0.7184357649362865,0.9413720091644446
DUSP1,23.838364876290864,2.4629291981023558,0.640093484027067,4.384615618189818,1.161907591321021e-05,0.0010689549840153393
EEF1A1,119.83608887498664,-0.1672091851095802,0.35848303643534685,-0.9588761096772173,0.3376211613487643,0.8718812400522548
EEF1D,13.556199771879363,-0.11803638351520189,0.3882390533513123,-0.8048828481229849,0.42088728698712485,0.9106782956248228
EIF1,31.94163224029355,0.1982161818125717,0.3973751448958708,1.0938757297989847,0.2740094845417047,0.8718812400522548
FAU,31.34301921544587,-0.164616639677786,0.3815771825618175,-0.9884762902879728,0.32291944064307165,0.8718812400522548
FGFBP2,12.400334189934965,-0.044582512072858946,0.3771962219725965,-0.33611276809150964,0.7367858304364481,0.9413720091644446
FOS,46.38090225257255,0.9142392032027393,0.7739664126936918,2.4453910920598187,0.014469514189893147,0.1479105894966855
FTL,19.057190128323562,0.03693316834051627,0.5006195424216338,0.6020050958988388,0.5471707453228245,0.9106782956248228
GAPDH,13.202305167495563,-0.03325726400169428,0.3810367389145064,-0.27132459952020577,0.7861413881540296,0.95164483829172
GNLY,115.56806714699759,0.2048824956170034,0.37040591223774744,1.084422360555336,0.2781775738494482,0.8718812400522548
GZMA,21.91424567518767,-0.031986733330939786,0.3548968734149683,-0.2141982309837769,0.8303924755409257,0.9592993020915376
GZMB,19.31763329665471,0.00748947491654426,0.3630678979444326,0.05319698542252573,0.9575749575006512,0.9946894347540042
GZMH,11.329037465650247,-0.15026519572018285,0.4126857176060251,-1.2505156408322717,0.2111112453808779,0.8032772644540601
GZMM,8.80750686967603,-0.029457288631780883,0.38454805457987956,-0.23711823087285525,0.8125650694376831,0.9584100819008571
HCST,16.795013891022467,-0.07884982246606935,0.36599308351989274,-0.529746151883722,0.5962879445240681,0.9106782956248228
HLA-A,81.7743456476636,-0.47028885159894057,0.5031234404531701,-2.0395099812793958,0.041399156083017766,0.34624748723978493
HLA-B,97.21502407999249,-0.26260863898747816,0.4715707411666612,-1.6903885072716673,0.09095365231845992,0.4648742229610173
HLA-C,58.40343638615662,-0.22635431112949453,0.4297441171609855,-1.4475251963352307,0.14774988479663995,0.6472852095852798
HLA-E,32.586897094136525,-0.056543856927825695,0.3360135167080813,-0.3436000758221679,0.73114706768037,0.9413720091644446
IFITM1,35.537639233239226,-0.10347383739288112,0.3802363169085435,-0.7826502754806749,0.43383250948147534,0.9106782956248228
IFITM2,18.691532054144357,0.045470036322396074,0.3757843186523383,0.32169323734426675,0.7476851015648203,0.9413720091644446
IL32,32.33934857684039,-1.0434047829302937,0.7666851327403568,-2.788398245255663,0.0052969384530384845,0.08121972294659009
ITGB2,12.440937232121758,0.10459334064078532,0.40831293037592636,0.7263504310690425,0.46762397053510707,0.9106782956248228
ITM2B,14.631130797549446,-0.1492973872927414,0.4041640157436906,-0.9988101369119838,0.3178866745057062,0.8718812400522548
JUN,28.392528761840683,0.4276739925906474,0.6281162384368885,1.9837695806432487,0.0472815327152858,0.3576844717172204
JUNB,13.33563495540785,0.13642395846066627,0.41482450649912667,0.952235676097095,0.3409774715461479,0.8718812400522548
LITAF,9.420212587872205,0.06558846647405014,0.3969127948220132,0.4837489635166939,0.6285640393917631,0.9106782956248228
LSP1,9.92329243511396,-0.039942469478678785,0.37752226954649465,-0.2957476120879643,0.7674228335579713,0.9413720091644446
MALAT1,357.18356106464984,0.08836375554010736,0.3263586580859107,0.5014493137752796,0.6160549412224317,0.9106782956248228
MT-ATP6,45.82111438583407,0.4067200705725291,0.5312930722131948,1.7238610793507747,0.08473292498328809,0.4585546528507356
MT-ATP8,14.398598476566773,-0.40230326079634193,0.8271068426257667,-2.8440721510691875,0.004454096053213063,0.08121972294659009
MT-CO1,172.1049382035993,0.08765819959874856,0.3475875710493381,0.533998923496741,0.5933422788603118,0.9106782956248228
MT-CO2,117.78224762747037,0.014737424545084407,0.31777739122857945,0.084032013930197,0.9330309783418284,0.9946894347540042
MT-CO3,80.09965007891016,-0.10619033727903747,0.3435428741447733,-0.626912336319445,0.5307167003445145,0.9106782956248228
MT-CYB,82.18956233390314,0.026452757808465368,0.3439233524038185,0.15405770979102626,0.8775642328220145,0.9924355112195241
MT-ND1,29.352246950567917,0.0936463399821806,0.40065404728668275,0.6204987523347096,0.5349294751775676,0.9106782956248228
MT-ND2,24.277594542582076,0.11677602354463883,0.39699976002819837,0.7198101640736834,0.4716418860044186,0.9106782956248228
MT-ND3,21.080810177285304,0.24334883361823373,0.482601103361125,1.3519916101513043,0.1763779992204485,0.7375807240127846
MT-ND4,35.741457344787285,0.2760149436855567,0.5092950162082142,1.487483674903799,0.13688711174515286,0.6296807140277031
MT-ND4L,35.827824934965925,-1.018435483661405,0.7717349891235454,-2.8171451222522155,0.004845262710743508,0.08121972294659009
MT-ND5,24.294438400933057,0.1264093595419845,0.3885450126423092,0.75213852248142,0.45196775973394265,0.9106782956248228
MYL12A,17.831143953385226,-0.022105964766269148,0.3553304754288694,-0.14518844846194826,0.8845620860869671,0.9924355112195241
MYL12B,11.033844021262196,-0.09197662223202273,0.38208081241470637,-0.6330389752164672,0.5267081914063574,0.9106782956248228
MYL6,15.194179234143862,-0.20735547001901053,0.42157395210537757,-1.2961997576375661,0.19490667303707376,0.779626692148295
NACA,22.62665941532673,-0.13559824256314695,0.3978959285695517,-0.9151271945116086,0.3601248600215835,0.8718812400522548
NFKBIA,19.329049529284998,1.0169585731145636,0.6458765406410885,2.6311319757920835,0.00851009814799062,0.11184700423073386
NKG7,79.29805186572422,-0.006262827795431513,0.3328138332919371,-0.038892859894155696,0.9689758092426481,0.9946894347540042
PFDN5,12.45167661819444,-0.06401234182189325,0.396362899974697,-0.4987724026089693,0.6179397315226758,0.9106782956248228
PFN1,39.37810769412726,0.06689998759321288,0.3741294685677505,0.4491649214273023,0.6533126903395468,0.9106782956248228
PPDPF,7.448348551449852,-0.2065569826241813,0.45840244125657204,-1.7828737298550272,0.07460686030105798,0.4585546528507356
PPIB,9.302836755746847,-0.014199062116766343,0.3793129930979281,-0.11381796789291312,0.909382094835055,0.9946894347540042
PRF1,19.667953482785204,0.11434026179414052,0.3769663569759204,0.7040256167362211,0.48141682075840364,0.9106782956248228
PTMA,43.819838128076015,0.023233596254730482,0.32710316498188624,0.10087332641238556,0.9196510175203708,0.9946894347540042
PTPRC,24.386954037315693,-0.05457464060178289,0.34659489651379416,-0.33229734207037254,0.7396647467048769,0.9413720091644446
RAC2,13.338293809835436,0.00121798674307849,0.36922505128634664,0.006655855642476847,0.9946894347540042,0.9946894347540042
RACK1,17.042010956916904,0.0030410734138625662,0.3862601347660326,0.03222804303850509,0.9742901926797124,0.9946894347540042
S100A10,7.399662149789492,-0.13778034468480393,0.4137982518617195,-1.1194718727581503,0.26293888389011044,0.8718812400522548
S100A4,26.5225425880584,-0.11509404468425542,0.3939924939189835,-0.956645760932563,0.3387460832212882,0.8718812400522548
S100A6,13.1315917759445,-0.16769551014496645,0.42969062815845055,-1.5063305226385413,0.13198234641128265,0.6296807140277031
SERF2,15.043948782502978,-0.002161392709978363,0.36744588884878676,-0.01697867009425979,0.9864536321190228,0.9946894347540042
SH3BGRL3,29.744101565961305,-0.14591482503266745,0.37876462622301066,-0.9249328513282367,0.35500083710718533,0.8718812400522548
SRGN,17.58783697359246,0.07629044130923099,0.36286517415008923,0.4705171779952806,0.6379855643304486,0.9106782956248228
TMA7,9.749703299030028,-0.14191806622491773,0.40415849086510536,-0.9893507699860241,0.3224915521034143,0.8718812400522548
TMSB10,44.890070677150774,-0.09545167957898147,0.3373845723845128,-0.5597880431463446,0.5756240202620971,0.9106782956248228
TMSB4X,114.57183628152492,-0.08842183675011171,0.30694196428444753,-0.4987128403094757,0.6179816975056573,0.9106782956248228
TPT1,54.61914223158452,-0.012430590663313994,0.3591150225647186,-0.08400494667089259,0.9330524987983425,0.9946894347540042
TXNIP,28.74358020294071,1.5425179401906919,0.7150699626942894,2.925180492951805,0.0034425648765232294,0.08121972294659009
TYROBP,14.291104504369995,0.04968522955809008,0.36679648718378743,0.32027416822293403,0.7487605034212461,0.9413720091644446
UBA52,17.772659918101198,-0.05004719085982687,0.3705691169416171,-0.33173373787505167,0.7400903227706349,0.9413720091644446
UBC,22.461186974886875,-0.045841703729886836,0.3548301475207962,-0.30173389061585276,0.7628549306950656,0.9413720091644446
VIM,9.353170616756154,-0.1544490922768364,0.42368599095611076,-1.1350107161139433,0.2563708284404841,0.8718812400522548
ZFP36,25.768629679323286,1.3857871165598667,0.8241540202101286,2.817743560060593,0.0048362418924465765,0.08121972294659009
ZFP36L2,13.355869681492004,0.4605368407007474,0.6224382922388849,1.9553449333144233,0.05054237100352028,0.3576844717172204
